校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立成功大學,水利及海洋工程學系,---,數學甲(分科) x 1.75、物　理(分科) x 1.50、英　文(學測) x 1.25、國　文(學測) x 1.00
國立成功大學,工業設計學系,---,英　文(學測) x 1.50、物　理(分科) x 1.50、數學甲(分科) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立成功大學,環境工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立成功大學,測量及空間資訊學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立成功大學,生命科學系,國　文 (均標),生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.25、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立成功大學,醫學檢驗生物技術學系,---,英　文(學測) x 1.25、化　學(分科) x 1.25、生　物(分科) x 1.25、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立成功大學,護理學系,---,生　物(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立成功大學,中國文學系,---,國　文(學測) x 1.50、英　文(學測) x 1.00、歷　史(分科) x 1.00
國立成功大學,外國語文學系,英　聽 (Ａ級),英　文(學測) x 2.00、國　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00、數學 B(學測) x 1.00
國立成功大學,歷史學系,---,歷　史(分科) x 1.50、國　文(學測) x 1.25、地　理(分科) x 1.25、英　文(學測) x 1.00、數學 B(學測) x 1.00
國立成功大學,台灣文學系,英　文 (均標),國　文(學測) x 1.50、英　文(學測) x 1.50、歷　史(分科) x 1.00、數學 B(學測) x 1.00、地　理(分科) x 1.00
國立成功大學,會計學系,---,英　文(學測) x 2.00、數學乙(分科) x 2.00、國　文(學測) x 1.00
國立成功大學,企業管理學系,---,英　文(學測) x 2.00、數學乙(分科) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
